timestamp,source,destination,bandwidth
2005-04-21 16:00:00,20,11,27.0222
2005-04-21 16:15:00,20,11,14.4
2005-04-21 16:30:00,20,11,8.6756
2005-04-21 16:45:00,20,11,18.4889
2005-04-21 17:00:00,20,11,20.6222
2005-04-21 17:15:00,20,11,30.6667
2005-04-21 17:30:00,20,11,1.5022
2005-04-21 17:45:00,20,11,166.1956
2005-04-21 18:00:00,20,11,430.4444
2005-04-21 18:15:00,20,11,144.2133
2005-04-21 18:30:00,20,11,310.0622
2005-04-21 18:45:00,20,11,298.2044
2005-04-21 19:00:00,20,11,182.1067
2005-04-21 19:15:00,20,11,740.5956
2005-04-21 19:30:00,20,11,240.9956
2005-04-21 19:45:00,20,11,144.1067
2005-04-21 20:00:00,20,11,286.72
2005-04-21 20:15:00,20,11,507.0933
2005-04-21 20:30:00,20,11,634.0267
2005-04-21 20:45:00,20,11,664.0711
2005-04-21 21:00:00,20,11,556.7289
2005-04-21 21:15:00,20,11,418.32
2005-04-21 21:30:00,20,11,295.3689
2005-04-21 21:45:00,20,11,210.7644
2005-04-21 22:00:00,20,11,298.1689
2005-04-21 22:15:00,20,11,55.5733
2005-04-21 22:30:00,20,11,29.4489
2005-04-21 22:45:00,20,11,38.5778
2005-04-21 23:00:00,20,11,13.3333
2005-04-21 23:15:00,20,11,0.4622
2005-04-21 23:30:00,20,11,12.9778
2005-04-21 23:45:00,20,11,2.4089
2005-04-22 00:00:00,20,11,37.2267
2005-04-22 00:15:00,20,11,14.4533
2005-04-22 00:30:00,20,11,26.6667
2005-04-22 00:45:00,20,11,15.2356
2005-04-22 01:00:00,20,11,13.6711
2005-04-22 01:15:00,20,11,4.2756
2005-04-22 01:30:00,20,11,80.3556
2005-04-22 01:45:00,20,11,131.9111
2005-04-22 02:00:00,20,11,26.6667
2005-04-22 02:15:00,20,11,15.1289
2005-04-22 02:30:00,20,11,0.7822
2005-04-22 02:45:00,20,11,14.48
2005-04-22 03:00:00,20,11,45.7778
2005-04-22 03:15:00,20,11,38.8356
2005-04-22 03:30:00,20,11,42.6844
2005-04-22 03:45:00,20,11,28.8889
2005-04-22 04:00:00,20,11,25.9556
2005-04-22 04:15:00,20,11,27.5556
2005-04-22 04:30:00,20,11,39.7511
2005-04-22 04:45:00,20,11,66.6667
2005-04-22 05:00:00,20,11,26.4178
2005-04-22 05:15:00,20,11,25.2444
2005-04-22 05:30:00,20,11,39.2889
2005-04-22 05:45:00,20,11,40.5689
2005-04-22 06:00:00,20,11,13.76
2005-04-22 06:15:00,20,11,42.9511
2005-04-22 06:30:00,20,11,13.3333
2005-04-22 06:45:00,20,11,13.3333
2005-04-22 07:00:00,20,11,24.0178
2005-04-22 07:15:00,20,11,13.3156
2005-04-22 07:30:00,20,11,26.88
2005-04-22 07:45:00,20,11,26.8444
2005-04-22 08:00:00,20,11,14.4533
2005-04-22 08:15:00,20,11,27.0222
2005-04-22 08:30:00,20,11,13.3333
2005-04-22 08:45:00,20,11,33.2267
2005-04-22 09:00:00,20,11,30.4533
2005-04-22 09:15:00,20,11,14.9511
2005-04-22 09:30:00,20,11,13.6889
2005-04-22 09:45:00,20,11,54.8089
2005-04-22 10:00:00,20,11,65.6
2005-04-22 10:15:00,20,11,26.6667
2005-04-22 10:30:00,20,11,25.9556
2005-04-22 10:45:00,20,11,40.8
2005-04-22 11:00:00,20,11,26.6667
2005-04-22 11:15:00,20,11,54.9689
2005-04-22 11:30:00,20,11,40.0
2005-04-22 11:45:00,20,11,26.4178
2005-04-22 12:00:00,20,11,31.9644
2005-04-22 12:30:00,20,11,39.4311
2005-04-22 12:45:00,20,11,26.6667
2005-04-22 13:00:00,20,11,25.9556
2005-04-22 13:15:00,20,11,57.8044
2005-04-22 13:30:00,20,11,40.9244
2005-04-22 13:45:00,20,11,36.3289
2005-04-22 14:00:00,20,11,48.9511
2005-04-22 14:15:00,20,11,33.2622
2005-04-22 14:30:00,20,11,13.3333
2005-04-22 14:45:00,20,11,0.4089
2005-04-22 15:00:00,20,11,14.9333
2005-04-22 15:15:00,20,11,54.08
2005-04-22 15:45:00,20,11,0.3556
2005-04-22 16:00:00,20,11,20.9867
2005-04-22 16:15:00,20,11,0.7111
2005-04-22 16:30:00,20,11,15.6089
2005-04-22 16:45:00,20,11,2.9244
2005-04-22 17:00:00,20,11,14.1956
2005-04-22 17:15:00,20,11,12.6222
2005-04-22 17:30:00,20,11,0.4622
2005-04-22 17:45:00,20,11,2.9867
2005-04-22 18:00:00,20,11,17.1289
2005-04-22 18:15:00,20,11,1.1911
2005-04-22 18:30:00,20,11,33.5644
2005-04-22 18:45:00,20,11,3.9467
2005-04-22 19:00:00,20,11,3.3778
2005-04-22 19:15:00,20,11,5.1822
2005-04-22 19:30:00,20,11,3.9111
2005-04-22 19:45:00,20,11,2.9244
2005-04-22 20:00:00,20,11,14.88
2005-04-22 20:15:00,20,11,13.6089
2005-04-22 20:30:00,20,11,39.6978
2005-04-22 20:45:00,20,11,24.1511
2005-04-22 21:00:00,20,11,14.0089
2005-04-22 21:15:00,20,11,29.6978
2005-04-22 21:30:00,20,11,195.9022
2005-04-22 21:45:00,20,11,8.1689
2005-04-22 22:00:00,20,11,16.5156
2005-04-22 22:15:00,20,11,1.5289
2005-04-22 22:30:00,20,11,36.1956
2005-04-22 22:45:00,20,11,123.1022
2005-04-22 23:00:00,20,11,78.5778
2005-04-22 23:15:00,20,11,65.9556
2005-04-22 23:30:00,20,11,27.1644
2005-04-22 23:45:00,20,11,2.0889
2005-04-23 00:15:00,20,11,0.3556
2005-04-23 00:30:00,20,11,0.7378
2005-04-23 00:45:00,20,11,13.3333
2005-04-23 01:00:00,20,11,0.5333
2005-04-23 01:15:00,20,11,40.0
2005-04-23 01:45:00,20,11,52.6222
2005-04-23 02:00:00,20,11,34.88
2005-04-23 02:15:00,20,11,28.0889
2005-04-23 02:30:00,20,11,25.9556
2005-04-23 02:45:00,20,11,14.9956
2005-04-23 03:15:00,20,11,25.7778
2005-04-23 03:30:00,20,11,13.6889
2005-04-23 03:45:00,20,11,14.3822
2005-04-23 04:00:00,20,11,38.8267
2005-04-23 04:15:00,20,11,39.2889
2005-04-23 04:30:00,20,11,0.7822
2005-04-23 04:45:00,20,11,12.6222
2005-04-23 05:00:00,20,11,15.0756
2005-04-23 05:15:00,20,11,0.4622
2005-04-23 05:30:00,20,11,0.4622
2005-04-23 05:45:00,20,11,0.3378
2005-04-23 06:00:00,20,11,15.9733
2005-04-23 06:15:00,20,11,28.6222
2005-04-23 06:30:00,20,11,26.2222
2005-04-23 06:45:00,20,11,14.6044
2005-04-23 07:00:00,20,11,43.8667
2005-04-23 07:15:00,20,11,2.4889
2005-04-23 07:30:00,20,11,0.3378
2005-04-23 07:45:00,20,11,25.9556
2005-04-23 08:00:00,20,11,0.64
2005-04-23 08:15:00,20,11,0.8
2005-04-23 08:30:00,20,11,13.9022
2005-04-23 08:45:00,20,11,0.5867
2005-04-23 09:00:00,20,11,13.3333
2005-04-23 09:15:00,20,11,23.7333
2005-04-23 09:30:00,20,11,35.8489
2005-04-23 09:45:00,20,11,10.6311
2005-04-23 10:00:00,20,11,33.1733
2005-04-23 10:15:00,20,11,17.0667
2005-04-23 10:30:00,20,11,19.5022
2005-04-23 10:45:00,20,11,31.2444
2005-04-23 11:00:00,20,11,33.2089
2005-04-23 11:15:00,20,11,20.0356
2005-04-23 11:30:00,20,11,32.0533
2005-04-23 11:45:00,20,11,45.0044
2005-04-23 12:00:00,20,11,27.5467
2005-04-23 12:15:00,20,11,16.5156
2005-04-23 12:30:00,20,11,20.1333
2005-04-23 12:45:00,20,11,35.4222
2005-04-23 13:00:00,20,11,12.9067
2005-04-23 13:15:00,20,11,20.8
2005-04-23 13:30:00,20,11,30.8711
2005-04-23 13:45:00,20,11,37.9733
2005-04-23 14:00:00,20,11,26.9067
2005-04-23 14:15:00,20,11,0.4622
2005-04-23 14:30:00,20,11,25.2444
2005-04-23 14:45:00,20,11,0.5867
2005-04-23 15:00:00,20,11,12.6222
2005-04-23 15:15:00,20,11,26.6667
2005-04-23 15:30:00,20,11,13.3333
2005-04-23 15:45:00,20,11,15.2267
2005-04-23 16:00:00,20,11,13.8311
2005-04-23 16:15:00,20,11,149.2622
